Player,Team,Opponent,DK Position,DK Salary,DK Projection,DK Value,DK Ownership,DKSlateID,DK Ceiling
Christian McCaffrey,CAR,NYJ,RB,9500,24.8,3,26,18522495,35.4
Teddy Bridgewater,DEN,NYG,QB,4800,18,3,4.5,18522432,22.9
Josh Allen,BUF,PIT,QB,7400,25.7,2.9,15.5,18522405,38.5
Stefon Diggs,BUF,PIT,WR,7600,20.5,2.5,19,18522863,30.8
Sam Darnold,CAR,NYJ,QB,5000,18,2.5,4,18522428,26.3
Jalen Hurts,PHI,ATL,QB,6400,22.3,2.5,10,18522411,31.9
Joe Mixon,CIN,MIN,RB,6200,17.7,2.4,23,18522523,24.4
Dalvin Cook,MIN,CIN,RB,9100,23.3,2.3,17,18522497,32.4
Najee Harris,PIT,BUF,RB,6300,17.7,2.3,12.3,18522521,23.4
Tee Higgins,CIN,MIN,WR,4700,14.5,2.2,22,18522933,21.1
Alvin Kamara,NO,GB,RB,8600,22.1,2.1,18,18522501,30.1
A.J. Brown,TEN,ARI,WR,7100,19,2,15,18522867,29.9
Davante Adams,GB,NO,WR,8300,21.3,1.9,16,18522853,30.5
Tyreek Hill,KC,CLE,WR,8200,21.1,1.9,8.2,18522855,31.6
Mac Jones,NE,MIA,QB,4400,15.7,1.9,2.3,18522437,22.8
Falcons ,ATL,PHI,DST,2000,6.9,1.9,34.8,18523850,11.7
Tyler Boyd,CIN,MIN,WR,5200,15.1,1.8,9.8,18522913,22
Marquez Callaway,NO,GB,WR,3400,11.4,1.6,26,18523009,16.3
Calvin Ridley,ATL,PHI,WR,7900,20.1,1.5,16,18522857,29.7
Russell Wilson,SEA,IND,QB,7000,23.1,1.5,4.3,18522406,32.9
Antonio Gibson,WAS,LAC,RB,5900,16.2,1.5,14.9,18522527,23.3
Joe Burrow,CIN,MIN,QB,5700,19.1,1.4,6,18522417,27.9
Ryan Tannehill,TEN,ARI,QB,6500,21.5,1.4,2.8,18522410,31.3
Ryan Fitzpatrick,WAS,LAC,QB,5500,18.5,1.4,4,18522419,26.5
Rondale Moore,ARI,TEN,WR,3000,10.3,1.3,11.7,18523323,16.1
Matt Ryan,ATL,PHI,QB,6000,19.9,1.3,5,18522415,28.3
Zach Wilson,NYJ,CAR,QB,5000,16.9,1.3,2,18522429,24
Jerry Jeudy,DEN,NYG,WR,4800,13.7,1.2,7,18522927,19.6
Aaron Jones,GB,NO,RB,6800,17.7,1.2,12.7,18522513,25.1
Patrick Mahomes,KC,CLE,QB,8100,26.2,1.2,10,18522403,36.7
Derrick Henry,TEN,ARI,RB,8800,21.6,1.2,14,18522499,30.1
Terry McLaurin,WAS,LAC,WR,6400,16.9,1.2,7.5,18522879,24.4
DeAndre Hopkins,ARI,TEN,WR,7800,19.5,1.1,12,18522859,28.7
Mike Davis,ATL,PHI,RB,5400,14.8,1.1,16,18522537,21.7
Marvin Jones Jr.,JAX,HOU,WR,3600,11.2,1.1,15.9,18522997,16.7
Kyler Murray,ARI,TEN,QB,7600,24.4,1,7.3,18522404,34.3
Texans ,HOU,JAX,DST,2100,6.2,1,15.1,18523847,10.6
Trevor Lawrence,JAX,HOU,QB,6200,20.1,0.9,4,18522413,29.1
Elijah Moore,NYJ,CAR,WR,3000,9.8,0.9,11.3,18523233,13.5
Jaylen Waddle,MIA,NE,WR,3600,10.9,0.8,12,18522995,15.4
George Kittle,SF,DET,TE,6300,16.2,0.8,19,18523485,25.5
Jets ,NYJ,CAR,DST,2400,6.5,0.8,9,18523842,11.2
Odell Beckham Jr.,CLE,KC,WR,5400,14.4,0.7,2.4,18522905,20.6
Tyler Lockett,SEA,IND,WR,6700,17,0.7,10.9,18522875,25.6
Jaguars ,JAX,HOU,DST,2700,7,0.7,1.7,18523838,11.8
Kyle Pitts,ATL,PHI,TE,4400,12.3,0.6,18.3,18523497,18.6
Tua Tagovailoa,MIA,NE,QB,5400,17.4,0.6,0.6,18522422,24.9
DJ Moore,CAR,NYJ,WR,6100,15.6,0.5,5.5,18522885,23.4
Terrace Marshall Jr.,CAR,NYJ,WR,3000,9.5,0.5,7.8,18523213,14.6
Travis Kelce,KC,CLE,TE,8300,20,0.5,16.1,18523483,30.2
Emmanuel Sanders,BUF,PIT,WR,4100,11.5,0.4,3,18522961,18
Aaron Rodgers,GB,NO,QB,6800,21.4,0.4,2.4,18522408,29.5
Tyrod Taylor,HOU,JAX,QB,5300,16.7,0.3,4.5,18522424,26
Chris Carson,SEA,IND,RB,5900,15,0.3,9.6,18522529,20.6
Broncos ,DEN,NYG,DST,3300,7.9,0.3,4.5,18523831,13
Robby Anderson,CAR,NYJ,WR,5700,14.5,0.2,3.7,18522893,21.4
Corey Davis,NYJ,CAR,WR,4900,12.9,0.2,7.5,18522923,18.4
Baker Mayfield,CLE,KC,QB,5900,18.4,0.1,0.6,18522416,26.4
Daniel Jones,NYG,DEN,QB,5300,16.5,0.1,1.5,18522423,22.4
DK Metcalf,SEA,IND,WR,7500,18,0.1,9,18522865,26.8
Lions ,DET,SF,DST,2200,5.5,0.1,4.5,18523846,9.7
Bills ,BUF,PIT,DST,2500,5.9,0,4.3,18523840,10.3
Chargers ,LAC,WAS,DST,3100,7.2,0,2.6,18523833,12.1
Dolphins ,MIA,NE,DST,2900,6.7,0,0.8,18523836,11.4
Titans ,TEN,ARI,DST,2300,5.6,0,1.8,18523844,9.9
Michael Pittman Jr.,IND,SEA,WR,4100,11,-0.1,8.7,18522959,16.1
Bengals ,CIN,MIN,DST,2000,4.9,-0.1,14.2,18523849,8.9
A.J. Green,ARI,TEN,WR,3800,10.3,-0.2,0.8,18522981,15.9
Laviska Shenault Jr.,JAX,HOU,WR,5000,12.7,-0.2,11.6,18522919,18.9
Justin Jefferson,MIN,CIN,WR,7700,18,-0.2,3.9,18522861,27.4
DeVonta Smith,PHI,ATL,WR,4500,11.7,-0.2,7,18522947,17.5
Panthers ,CAR,NYJ,DST,3600,7.9,-0.3,0.5,18523828,13
Deebo Samuel,SF,DET,WR,5900,14.3,-0.4,2.8,18522889,22.1
Austin Ekeler,LAC,WAS,RB,7000,16.3,-0.5,9,18522509,21.4
Ja'Marr Chase,CIN,MIN,WR,4800,12,-0.6,5.1,18522931,17.4
Courtland Sutton,DEN,NYG,WR,5200,12.7,-0.6,0.8,18522911,18.5
Clyde Edwards-Helaire,KC,CLE,RB,6600,15.4,-0.6,5.2,18522515,21.7
Kirk Cousins,MIN,CIN,QB,6300,18.9,-0.6,0.5,18522412,24.7
Dyami Brown,WAS,LAC,WR,3000,8.3,-0.6,3,18523253,12.5
Melvin Gordon III,DEN,NYG,RB,5300,12.8,-0.7,0.9,18522539,18.9
Jameis Winston,NO,GB,QB,5200,15.5,-0.7,2.5,18522425,25.7
Colts ,IND,SEA,DST,2300,4.9,-0.7,3.3,18523843,8.8
Brandin Cooks,HOU,JAX,WR,5300,12.7,-0.8,6.2,18522907,17.9
Eagles ,PHI,ATL,DST,2600,5.4,-0.8,1.3,18523839,9.5
Chase Edmonds,ARI,TEN,RB,4600,11.2,-0.9,7.4,18522561,16.2
Tyler Conklin,MIN,CIN,TE,2900,7.9,-0.9,3.3,18523543,12.4
Damien Harris,NE,MIA,RB,5200,12.4,-0.9,4.7,18522541,17.8
Raheem Mostert,SF,DET,RB,5800,13.6,-0.9,4.4,18522531,20.5
Adam Humphries,WAS,LAC,WR,3000,8.1,-0.9,1,18523251,12.1
Amon-Ra St. Brown,DET,SF,WR,3000,7.9,-1,2.2,18523381,10.9
Justin Herbert,LAC,WAS,QB,6700,19.7,-1,1,18522409,27.2
Brandon Aiyuk,SF,DET,WR,5700,13.3,-1,7.1,18522895,19.9
Julio Jones,TEN,ARI,WR,6800,15.5,-1,7,18522873,23.6
Logan Thomas,WAS,LAC,TE,4600,11.1,-1,4.2,18523493,15.4
Chiefs ,KC,CLE,DST,3000,6,-1,0.5,18523834,10.4
Vikings ,MIN,CIN,DST,3000,6,-1,0.5,18523835,10.4
Noah Fant,DEN,NYG,TE,4300,10.4,-1.1,3.8,18523499,15.4
Jared Goff,DET,SF,QB,5100,14.8,-1.1,0.7,18522427,19
Mecole Hardman,KC,CLE,WR,4800,11.4,-1.1,2.5,18522929,18.5
Adam Thielen,MIN,CIN,WR,7000,15.7,-1.1,1.5,18522869,23
Jimmy Garoppolo,SF,DET,QB,5500,16,-1.1,2.5,18522420,18.7
Cardinals ,ARI,TEN,DST,2100,4.1,-1.1,1.1,18523848,7.8
Javonte Williams,DEN,NYG,RB,4000,9.7,-1.2,2.2,18522603,15.3
Jalen Reagor,PHI,ATL,WR,3700,9.2,-1.2,0.5,18522991,13.3
Jarvis Landry,CLE,KC,WR,6000,13.6,-1.3,0.6,18522887,19.3
James Robinson,JAX,HOU,RB,6400,14.4,-1.3,13.6,18522519,21
Myles Gaskin,MIA,NE,RB,6000,13.5,-1.3,0.8,18522525,17.9
Jakobi Meyers,NE,MIA,WR,5100,11.8,-1.3,2,18522917,17.9
Cole Beasley,BUF,PIT,WR,4400,10.4,-1.4,4.6,18522951,16.1
T.J. Hockenson,DET,SF,TE,4900,11.3,-1.4,9,18523487,14.6
Carson Wentz,IND,SEA,QB,5600,16,-1.4,1.8,18522418,24.3
Keenan Allen,LAC,WAS,WR,6900,15.3,-1.4,1.9,18522871,20.9
DeVante Parker,MIA,NE,WR,5500,12.5,-1.4,0.7,18522901,17.5
Jonathan Taylor,IND,SEA,RB,8000,17.3,-1.5,2,18522503,23.9
Trey Sermon,SF,DET,RB,4500,10.4,-1.5,6,18522567,16.5
Packers ,GB,NO,DST,3500,6.4,-1.5,0.5,18523829,11
WAS Football Team ,WAS,LAC,DST,3200,5.8,-1.5,0.5,18523832,10.2
Nico Collins,HOU,JAX,WR,3600,8.6,-1.6,0.5,18523001,12.2
Parris Campbell,IND,SEA,WR,3700,8.6,-1.7,5.3,18522987,12.8
Gerald Everett,SEA,IND,TE,3400,8,-1.7,5.1,18523521,12.5
Patriots ,NE,MIA,DST,3900,7,-1.7,0.5,18523826,11.8
49ers ,SF,DET,DST,4200,7.6,-1.7,0.5,18523825,12.7
Mike Gesicki,MIA,NE,TE,4500,10.1,-1.8,1.9,18523495,13.9
Miles Sanders,PHI,ATL,RB,6500,14.1,-1.8,0.8,18522517,19.5
James Conner,ARI,TEN,RB,4500,10,-1.9,0.5,18522565,14.8
Kenny Golladay,NYG,DEN,WR,5600,12.2,-1.9,0.8,18522897,17.1
Marquez Valdes-Scantling,GB,NO,WR,3700,8.4,-2,0.5,18522985,13.6
Randall Cobb,GB,NO,WR,3900,8.7,-2,0.5,18522977,14.2
Juwan Johnson,NO,GB,WR,3000,7,-2,0.5,18523077,10.5
Saints ,NO,GB,DST,2200,3.4,-2,0.2,18523845,6.8
Russell Gage,ATL,PHI,WR,5300,11.4,-2.1,1.1,18522909,17.3
KJ Hamler,DEN,NYG,WR,3100,7.1,-2.1,0.5,18523027,10.7
Kalif Raymond,DET,SF,WR,3000,6.9,-2.1,0.5,18523387,9.8
Tyler Kroft,NYJ,CAR,TE,2500,5.9,-2.1,0.6,18523671,8.3
Chase Claypool,PIT,BUF,WR,5600,12,-2.1,3.9,18522899,16.4
Anthony Firkser,TEN,ARI,TE,3200,7.2,-2.1,8.8,18523529,12
Mo Alie-Cox,IND,SEA,TE,2900,6.6,-2.2,0.6,18523541,10
Joshua Palmer,LAC,WAS,WR,3000,6.7,-2.2,0.5,18523271,10.2
James White,NE,MIA,RB,4400,9.5,-2.2,3,18522571,14.9
Ben Roethlisberger,PIT,BUF,QB,6100,16.7,-2.2,0.5,18522414,21.4
Gabriel Davis,BUF,PIT,WR,3400,7.5,-2.3,0.5,18523013,12.4
Steelers ,PIT,BUF,DST,2800,4.3,-2.3,0,18523837,8
Seahawks ,SEA,IND,DST,3400,5.2,-2.5,0.5,18523830,9.3
Austin Hooper,CLE,KC,TE,4000,8.3,-2.6,1.5,18523509,12.1
DJ Chark Jr.,JAX,HOU,WR,5800,11.8,-2.6,1,18522891,18
Demarcus Robinson,KC,CLE,WR,4300,8.9,-2.6,0.5,18522955,15
Darius Slayton,NYG,DEN,WR,3800,7.9,-2.7,0.5,18522979,11
Diontae Johnson,PIT,BUF,WR,6300,12.8,-2.7,1.3,18522881,17.3
Giants ,NYG,DEN,DST,3800,5.8,-2.7,0.5,18523827,10.2
C.J. Uzomah,CIN,MIN,TE,3000,6.1,-2.8,0.5,18523537,9.3
Tyrell Williams,DET,SF,WR,4400,8.9,-2.8,2.9,18522953,12.3
Robert Tonyan,GB,NO,TE,4200,8.6,-2.8,0.5,18523501,13.6
Jared Cook,LAC,WAS,TE,3800,7.8,-2.8,0.5,18523513,12
Browns ,CLE,KC,DST,2400,3,-2.8,0,18523841,6.3
Jonnu Smith,NE,MIA,TE,4100,8.2,-2.9,1.3,18523507,12.2
Kyle Rudolph,NYG,DEN,TE,2800,5.7,-2.9,1.4,18523545,8.1
Jamison Crowder,NYJ,CAR,WR,4600,9.2,-2.9,0.5,18522939,13.3
Josh Reynolds,TEN,ARI,WR,3400,6.9,-2.9,0.5,18523011,11.3
Devin Singletary,BUF,PIT,RB,4700,9.4,-3,0.5,18522559,14.5
Donovan Peoples-Jones,CLE,KC,WR,3000,5.9,-3,0.5,18523159,9.8
AJ Dillon,GB,NO,RB,4000,7.9,-3.1,1.5,18522625,12.1
James O'Shaughnessy,JAX,HOU,TE,2500,4.9,-3.1,0.5,18523637,8.2
Mike Williams,LAC,WAS,WR,5500,10.8,-3.1,0.5,18522903,16.1
Sterling Shepard,NYG,DEN,WR,5100,10,-3.1,0.5,18522915,13.8
JuJu Smith-Schuster,PIT,BUF,WR,6200,12.2,-3.1,0.5,18522883,16.9
Nick Chubb,CLE,KC,RB,7200,14,-3.2,0.5,18522507,19.5
Eric Ebron,PIT,BUF,TE,3900,7.5,-3.2,0.5,18523511,10.5
Dee Eskridge,SEA,IND,WR,3000,5.7,-3.2,0.8,18523287,10
Kareem Hunt,CLE,KC,RB,5500,10.6,-3.3,0.5,18522535,15.8
Carlos Hyde,JAX,HOU,RB,4000,7.6,-3.3,0.5,18522673,13.1
Nelson Agholor,NE,MIA,WR,4500,8.6,-3.3,0.5,18522941,13.2
Ty Johnson,NYJ,CAR,RB,4400,8.3,-3.4,0.5,18522575,13.3
D'Andre Swift,DET,SF,RB,6900,13.1,-3.5,1,18522511,18.4
Jordan Akins,HOU,JAX,TE,3000,5.5,-3.5,2.2,18523535,7.9
Zach Pascal,IND,SEA,WR,3700,6.8,-3.5,0.7,18522989,10.4
Jamal Agnew,JAX,HOU,WR,3000,5.5,-3.5,0.5,18523179,9.3
Geoff Swaim,TEN,ARI,TE,2500,4.5,-3.5,0,18523737,8.2
Dawson Knox,BUF,PIT,TE,3400,6.2,-3.6,0.5,18523523,10.3
Jamaal Williams,DET,SF,RB,4500,8.2,-3.7,0.5,18522569,10.7
Quez Watkins,PHI,ATL,WR,3000,5.3,-3.7,1.5,18523459,8.3
Zach Ertz,PHI,ATL,TE,3800,6.9,-3.7,0.7,18523515,9.6
Chris Conley,HOU,JAX,WR,3000,5.2,-3.8,4,18523195,7.7
J.D. McKissic,WAS,LAC,RB,5100,9.3,-3.8,0.5,18522543,14.5
Dan Arnold,CAR,NYJ,TE,2600,4.2,-3.9,0.1,18523553,7.8
Dallas Goedert,PHI,ATL,TE,4800,8.6,-3.9,0.5,18523489,12.6
Zack Moss,BUF,PIT,RB,4600,8.1,-4,0.5,18522563,13.5
Christian Kirk,ARI,TEN,WR,4500,7.9,-4.1,0.5,18522945,12
Saquon Barkley,NYG,DEN,RB,7800,14.3,-4.1,5,18522505,19.9
Pharaoh Brown,HOU,JAX,TE,2500,3.8,-4.2,0,18523651,6
Tre'Quan Smith,NO,GB,WR,4900,8.5,-4.3,1,18522921,12.6
Kadarius Toney,NYG,DEN,WR,3000,4.6,-4.3,0,18523033,6.8
Nyheim Hines,IND,SEA,RB,5000,8.5,-4.4,0.5,18522545,12.8
Albert Wilson,MIA,NE,WR,3000,4.6,-4.4,0,18523125,7
Will Dissly,SEA,IND,TE,2600,3.8,-4.4,0,18523555,7.1
Maxx Williams,ARI,TEN,TE,2700,3.9,-4.5,0,18523547,7.1
Keelan Cole Sr.,NYJ,CAR,WR,3000,4.4,-4.5,0,18523235,6.6
Mohamed Sanu,SF,DET,WR,3000,4.5,-4.5,0,18523365,8.2
Cordarrelle Patterson,ATL,PHI,WR,3700,5.7,-4.7,0.5,18522993,10.5
Jack Doyle,IND,SEA,TE,3200,4.7,-4.7,0,18523527,7.3
Durham Smythe,MIA,NE,TE,2500,3.2,-4.7,0,18523607,5
Devontae Booker,NYG,DEN,RB,4000,6.1,-4.8,0.5,18522589,10.1
Hayden Hurst,ATL,PHI,TE,3700,5.4,-4.9,0.5,18523517,9.1
Tevin Coleman,NYJ,CAR,RB,4900,7.8,-4.9,0.5,18522551,12.5
Darren Fells,DET,SF,TE,2500,3,-5,0,18523755,4.6
Kaden Smith,NYG,DEN,TE,2500,3,-5,0,18523557,4.7
Olamide Zaccheaus,ATL,PHI,WR,3400,4.7,-5.1,0,18523015,8.3
Andre Roberts,HOU,JAX,WR,3000,3.9,-5.1,0,18523197,5.7
Tony Jones Jr.,NO,GB,RB,4000,5.8,-5.1,0.5,18522619,8.7
Adam Trautman,NO,GB,TE,2900,3.7,-5.1,1.6,18523539,6.5
Albert Okwuegbunam,DEN,NYG,TE,2500,2.8,-5.2,0.2,18523565,5.1
Justin Jackson,LAC,WAS,RB,4000,5.8,-5.2,0.5,18522719,8.9
Rashaad Penny,SEA,IND,RB,4000,5.6,-5.3,0.5,18522729,9.4
Quintez Cephus,DET,SF,WR,3200,4,-5.4,0.1,18523025,5.6
Mark Ingram II,HOU,JAX,RB,4400,6.3,-5.4,0.5,18522573,9.5
James Washington,PIT,BUF,WR,3500,4.5,-5.4,0,18523007,6.7
Brandon Dillon,MIN,CIN,TE,2500,2.4,-5.5,0,18523771,5.3
Hunter Henry,NE,MIA,TE,4700,6.8,-5.5,0.5,18523491,10.5
Lil'Jordan Humphrey,NO,GB,WR,3000,3.5,-5.5,0,18523081,5.8
Greg Ward,PHI,ATL,WR,3000,3.5,-5.5,0,18523455,5.8
Harrison Bryant,CLE,KC,TE,2500,2.4,-5.6,0,18523629,4.8
Marcedes Lewis,GB,NO,TE,2500,2.4,-5.6,0,18523585,5.4
Pat Freiermuth,PIT,BUF,TE,2500,2.4,-5.6,0,18523789,4.2
Jalen Guyton,LAC,WAS,WR,3000,3.3,-5.7,0,18523269,5.9
Ryan Griffin,NYJ,CAR,TE,2500,2.3,-5.7,0,18523673,3.9
Phillip Lindsay,HOU,JAX,RB,4700,6.5,-5.8,0.5,18522557,9.2
Donald Parham Jr.,LAC,WAS,TE,3100,3.3,-5.8,0,18523531,5.6
N'Keal Harry,NE,MIA,WR,3000,3.2,-5.8,0,18523107,5.5
Allen Lazard,GB,NO,WR,4000,5,-5.9,0.5,18522963,9
Chris Manhertz,JAX,HOU,TE,2700,2.3,-6,0,18523551,4.8
David Johnson,HOU,JAX,RB,5700,8.1,-6.2,0.5,18522533,11.7
David Njoku,CLE,KC,TE,3500,3.6,-6.3,0,18523519,6.5
Kylen Granson,IND,SEA,TE,2500,1.7,-6.3,0,18523715,3.8
Kendrick Bourne,NE,MIA,WR,4400,5.4,-6.3,0.5,18522949,8.7
Ian Thomas,CAR,NYJ,TE,2500,1.5,-6.4,0,18523661,3.9
Preston Williams,MIA,NE,WR,3000,2.5,-6.4,0,18523123,4.3
Deonte Harris,NO,GB,WR,3200,2.8,-6.5,8.7,18523021,5.1
Byron Pringle,KC,CLE,WR,3300,2.9,-6.7,0,18523017,6.9
Cethan Carter,MIA,NE,TE,2500,1.2,-6.7,0,18523613,2.6
Auden Tate,CIN,MIN,WR,3000,2.2,-6.8,0,18523413,4.3
Mack Hollins,MIA,NE,WR,3000,2.2,-6.8,0,18523129,3.8
Wayne Gallman Jr.,ATL,PHI,RB,4000,4.1,-6.9,0,18522771,8.3
Trent Sherfield,SF,DET,WR,3000,2,-6.9,0,18523363,5
Jeremy McNichols,TEN,ARI,RB,4000,4.1,-6.9,0,18522761,8
Brevin Jordan,HOU,JAX,TE,2500,1,-7,0,18523649,2.4
Salvon Ahmed,MIA,NE,RB,4300,4.6,-7,0,18522579,7.7
Freddie Swain,SEA,IND,WR,3000,1.9,-7,0,18523285,4.8
Darrell Daniels,ARI,TEN,TE,2500,0.9,-7.1,0,18523725,3
Tim Patrick,DEN,NYG,WR,3900,3.6,-7.1,0,18522971,6.5
Boston Scott,PHI,ATL,RB,4000,3.9,-7.1,0,18522827,7.8
Kyle Juszczyk,SF,DET,RB,4000,3.8,-7.1,0,18522779,8.5
Samaje Perine,CIN,MIN,RB,4300,4.3,-7.3,0,18522581,8.8
Josiah Deguara,GB,NO,TE,2500,0.7,-7.3,0,18523587,3.3
Mike Strachan,IND,SEA,WR,3000,1.7,-7.3,0,18523311,3.9
Jerick McKinnon,KC,CLE,RB,4100,3.9,-7.3,0,18522587,8.1
Blake Bell,KC,CLE,TE,2500,0.7,-7.3,0,18523619,3.8
Noah Gray,KC,CLE,TE,2500,0.7,-7.3,0,18523621,3.9
Ross Dwelley,SF,DET,TE,2500,0.6,-7.3,0,18523747,3.2
Chester Rogers,TEN,ARI,WR,3000,1.7,-7.3,0,18523349,4.6
Tommy Sweeney,BUF,PIT,TE,2500,0.6,-7.4,0,18523799,3.3
Brandon Zylstra,CAR,NYJ,WR,3000,1.6,-7.4,0,18523215,4.1
Drew Sample,CIN,MIN,TE,3100,1.8,-7.4,0,18523533,3.7
Jacob Hollister,JAX,HOU,TE,2500,0.6,-7.4,0,18523797,2.5
Trevon Wesco,NYJ,CAR,TE,2500,0.6,-7.4,0,18523677,1.6
Charlie Woerner,SF,DET,TE,2500,0.6,-7.4,0,18523751,3.1
Ashton Dulin,IND,SEA,WR,3000,1.5,-7.5,0,18523305,3.5
Alexander Mattison,MIN,CIN,RB,5000,5.4,-7.5,0.5,18522547,9.2
Michael Carter,NYJ,CAR,RB,4000,3.5,-7.5,0,18522705,7.5
Chuba Hubbard,CAR,NYJ,RB,4000,3.3,-7.6,0,18522689,7.7
Malcolm Brown,MIA,NE,RB,4000,3.3,-7.6,0,18522641,6.2
Chris Herndon,MIN,CIN,TE,3300,1.9,-7.6,0,18523525,4.6
Devin Asiasi,NE,MIA,TE,2500,0.3,-7.7,0,18523597,2
Kenneth Gainwell,PHI,ATL,RB,4000,3.3,-7.7,0,18522831,7
Ray-Ray McCloud III,PIT,BUF,WR,3000,1.3,-7.7,0,18523427,2.8
Ricky Seals-Jones,WAS,LAC,TE,2500,0.3,-7.7,0,18523683,1.7
Andy Isabella,ARI,TEN,WR,3000,1.1,-7.8,0,18523327,3.3
Christian Blake,ATL,PHI,WR,3000,1.2,-7.8,0,18523471,3.6
K.J. Osborn,MIN,CIN,WR,3000,1.2,-7.8,0,18523407,3.7
Ihmir Smith-Marsette,MIN,CIN,WR,3000,1.2,-7.8,0,18523399,3.7
Rhamondre Stevenson,NE,MIA,RB,4000,3.2,-7.8,0,18522633,7.1
Cameron Batson,TEN,ARI,WR,3000,1.2,-7.8,0,18523343,4
KhaDarel Hodge,DET,SF,WR,3000,1,-7.9,0,18523163,2
Marlon Mack,IND,SEA,RB,4000,3,-7.9,0,18522741,5.9
Ty Montgomery,NO,GB,RB,4000,3,-7.9,0,18522617,5.1
Tyron Johnson,JAX,HOU,WR,3900,2.8,-8,0,18522975,5.7
Tajae Sharpe,ATL,PHI,WR,3000,0.7,-8.3,0,18523467,3.1
J.J. Taylor,NE,MIA,RB,4000,2.6,-8.3,0,18522637,6.1
Braxton Berrios,NYJ,CAR,WR,3200,1.1,-8.3,0,18523023,2.3
Cam Sims,WAS,LAC,WR,4000,2.7,-8.3,0,18522967,5.1
Mike Thomas,CIN,MIN,WR,3000,0.5,-8.4,0,18523415,2.1
Diontae Spencer,DEN,NYG,WR,3000,0.5,-8.4,0,18523055,2.2
Darrel Williams,KC,CLE,RB,4800,4.1,-8.4,0,18522555,8.4
Joshua Kelley,LAC,WAS,RB,4000,2.5,-8.4,0,18522721,5.4
Travis Homer,SEA,IND,RB,4000,2.6,-8.4,0,18522731,5.4
Dante Pettis,NYG,DEN,WR,3000,0.5,-8.5,0,18523043,1.5
Isaiah McKenzie,BUF,PIT,WR,3600,1.6,-8.6,0,18522999,4.5
Gunner Olszewski,NE,MIA,WR,3100,0.5,-8.6,0,18523029,2.4
Rashard Higgins,CLE,KC,WR,4200,2.6,-8.7,0,18522957,5.4
JJ Arcega-Whiteside,PHI,ATL,WR,3000,0.3,-8.7,0,18523461,1.8
Jalen Hurd,SF,DET,WR,3000,0.2,-8.7,0,18523361,2.6
Denzel Mims,NYJ,CAR,WR,3500,1.1,-8.8,0,18523003,2.4
Rex Burkhead,HOU,JAX,RB,4000,2.1,-8.9,0,18522681,4.3
Matt Breida,BUF,PIT,RB,4000,1.9,-9,0,18522819,5.7
Jakeem Grant,MIA,NE,WR,3900,1.6,-9.1,0,18522973,3.1
Jaret Patterson,WAS,LAC,RB,4000,1.8,-9.1,0,18522713,5.2
Chris Evans,CIN,MIN,RB,4000,1.7,-9.2,0,18522803,5.5
Dare Ogunbowale,JAX,HOU,RB,4000,1.6,-9.3,0,18522675,5.8
Dwayne Washington,NO,GB,RB,4000,1.7,-9.3,0,18522615,3.6
Kylin Hill,GB,NO,RB,4000,1.5,-9.5,0,18522627,4.2
DeeJay Dallas,SEA,IND,RB,4000,1.4,-9.5,0,18522733,4
Khari Blasingame,TEN,ARI,RB,4000,1.3,-9.6,0,18522767,4.4
Gary Brightwell,NYG,DEN,RB,4000,1.2,-9.7,0,18522593,4
Benny Snell Jr.,PIT,BUF,RB,4200,1.6,-9.7,0,18522585,3.9
Jermar Jefferson,DET,SF,RB,4000,1.1,-9.8,0,18522783,2.6
Kalen Ballage,PIT,BUF,RB,4000,1.1,-9.8,0,18522813,3.2
Demetrius Harris,ARI,TEN,,,0.9,-10,0,,3
Dede Westbrook,MIN,CIN,,,3.4,-10,0,,6.4
Eli Mitchell,SF,DET,RB,4000,0.9,-10,0,18522775,4.7
Luke Stocker,TEN,ARI,,,0.6,-10,0,,3.2
C.J. Ham,MIN,CIN,RB,4000,0.9,-10.1,0,18522799,3.8
JaMycal Hasty,SF,DET,RB,4000,0.9,-10.1,0,18522777,4.6
Royce Freeman,CAR,NYJ,RB,4000,0.8,-10.2,0,18522607,4.3
Alex Collins,SEA,IND,RB,4000,0.7,-10.3,0,18522735,3
LeVante Bellamy,DEN,NYG,RB,4000,0.6,-10.4,0,18522609,3.9
Larry Rountree III,LAC,WAS,RB,4000,0.5,-10.4,0,18522727,2.9
Trey Lance,SF,DET,QB,4500,3.5,-10.5,0,18522436,7.5
Eno Benjamin,ARI,TEN,RB,4000,0.3,-10.6,0,18522753,2.6
D'Ernest Johnson,CLE,KC,RB,4000,0.4,-10.6,0,18522661,2.7
Andy Janovich,CLE,KC,RB,4000,0.1,-10.9,0,18522669,2.4
Taysom Hill,NO,GB,QB,5200,2.4,-13.7,0,18522426,6.4