Name,Team,Position,Salary,Projection,Ceiling,Total Own,CPT Salary,CPT Projection,CPT Own
Davante Adams,GB,WR,11800,20.3,28.2,69,17700,30.4,20.3
Aaron Rodgers,GB,QB,11400,19.1,26.6,76,17100,28.7,18.4
Aaron Jones,GB,RB,10400,16.7,22.2,56.1,15600,25.1,12.3
Jared Goff,DET,QB,10000,17.6,23.5,40.2,15000,26.4,4.7
T.J. Hockenson,DET,TE,9600,14,18.6,25.2,14400,21,4.7
D'Andre Swift,DET,RB,8400,16.5,22.6,54.3,12600,24.8,10.1
Jamaal Williams,DET,RB,7200,10.6,14.7,26.2,10800,16,3.5
Robert Tonyan,GB,TE,6400,8.5,12.5,23.2,9600,12.7,2.4
Kurt Benkert,GB,QB,6000,0,0,0,9000,0,0
Steven Montez,DET,QB,6000,0,0,0,9000,0,0
David Blough,DET,QB,6000,0,0,0,9000,0,0
Tim Boyle,DET,QB,6000,0,0,0,9000,0,0
Jordan Love,GB,QB,6000,0,0,0,9000,0,0
Marquez Valdes-Scantling,GB,WR,5600,10.2,15.1,29.6,8400,15.4,4.5
Packers,GB,DST,5000,4.9,8.9,23.1,7500,7.4,3.4
Allen Lazard,GB,WR,4800,5.1,8.5,18.1,7200,7.6,1.3
Kalif Raymond,DET,WR,4400,5.9,9.4,21.2,6600,8.8,2.4
Tyrell Williams,DET,WR,4200,0,0,0,6300,0,0
JJ Molson,GB,K,4000,0,0,0,6000,0,0
Mason Crosby,GB,K,4000,8,11.1,20.1,6000,12,0.8
Quintez Cephus,DET,WR,3800,10.5,15,15.5,5700,15.8,1.2
Austin Seibert,DET,K,3600,7.7,13.1,13.4,5400,11.5,0.6
AJ Dillon,GB,RB,3000,6.4,8.9,28.3,4500,9.5,3.5
Lions,DET,DST,2800,3,6.3,5.7,4200,4.5,0.4
Amon-Ra St. Brown,DET,WR,2400,7.8,10.9,20.2,3600,11.6,3.5
Randall Cobb,GB,WR,2000,4.8,8.1,7.6,3000,7.2,0.6
Darren Fells,DET,TE,1400,1.3,2.9,3.7,2100,2,0
Trinity Benson,DET,WR,1000,4.7,6.9,13.3,1500,7,1.1
Marcedes Lewis,GB,TE,800,1.5,3.5,3.5,1200,2.3,0
Malik Taylor,GB,WR,600,0,0,0,900,0,0
Amari Rodgers,GB,WR,400,1.1,3.1,5.4,600,1.7,0
Bronson Kaufusi,GB,TE,200,0,0,0,300,0,0
Seth Roberts,GB,WR,200,0,0,0,300,0,0
Dominique Dafney,GB,TE,200,0,0,0,300,0,0
Equanimeous St. Brown,GB,WR,200,0,0,0,300,0,0
Craig Reynolds,DET,RB,200,0,0,0,300,0,0
Javon McKinley,DET,WR,200,0,0,0,300,0,0
Juwann Winfree,GB,WR,200,0,0,0,300,0,0
Patrick Taylor,GB,RB,200,0,0,0,300,0,0
Charlie Taumoepeau,DET,TE,200,0,0,0,300,0,0
Hunter Bryant,DET,TE,200,0,0,0,300,0,0
Godwin Igwebuike,DET,RB,200,0,0,0,300,0,0
Jared Pinkney,DET,TE,200,0,0,0,300,0,0
Geronimo Allison,DET,WR,200,0,0,0,300,0,0
Jason Cabinda,DET,RB,200,0.9,3.2,0.8,300,1.4,0
Shane Zylstra,DET,TE,200,0,0,0,300,0,0
Brock Wright,DET,TE,200,0,0,0,300,0,0
Jermar Jefferson,DET,RB,200,0,0,0,300,0,0
Josiah Deguara,GB,TE,200,0,0,0,300,0,0
Chris Blair,GB,WR,200,0,0,0,300,0,0
Kylin Hill,GB,RB,200,1.2,2.7,0,300,1.9,0
Tom Kennedy,DET,WR,200,0,0,0,300,0,0
KhaDarel Hodge,DET,WR,200,0,0,0.3,300,0,0
Jace Sternberger,GB,TE,200,0,0,0,300,0,0